Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8611111111111112,0.7894736842105263,0.9375,0.8571428571428571,0.946875
KNN,0.8888888888888888,0.8333333333333334,0.9375,0.8823529411764706,0.959375
Decision Tree,0.7222222222222222,0.6875,0.6875,0.6875,0.71875
Random Forest,0.8333333333333334,0.75,0.9375,0.8333333333333334,0.909375
SVM,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9562499999999999
